tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1991-339,Adelaide,Hard,32,A,19901231,1,101723,0,0,Magnus Larsson,R,193,SWE,20.76933607,101414,1,0,Boris Becker,R,190,GER,23.10746064,6-4 3-6 7-6(2),3,R32,130,6,2,96,55,39,25,15,2,4,8,3,95,62,44,23,16,6,8,56,0,2,0
1991-339,Adelaide,Hard,32,A,19901231,2,100946,0,Q,Slobodan Zivojinovic,R,198,YUG,27.44147844,101256,0,0,Mark Kratzmann,L,178,AUS,24.62422998,6-3 3-6 7-6(6),3,R32,119,19,4,101,56,45,25,15,9,10,8,2,84,41,35,27,15,1,2,304,0,75,0
1991-339,Adelaide,Hard,32,A,19901231,3,101234,0,0,Patrik Kuhnen,R,190,GER,24.8843258,101421,0,0,Veli Paloheimo,R,183,FIN,23.04996578,6-0 6-4,3,R32,71,6,1,54,31,24,13,8,1,1,2,2,60,37,22,6,8,4,8,82,0,69,0
1991-339,Adelaide,Hard,32,A,19901231,4,101889,8,0,Todd Woodbridge,R,178,AUS,19.74811773,101703,0,0,Guillaume Raoux,R,180,FRA,20.87611225,7-6(2) 6-1,3,R32,85,2,0,60,40,30,14,9,3,3,3,3,74,45,30,11,10,5,8,50,0,84,0
1991-339,Adelaide,Hard,32,A,19901231,5,101274,0,0,Udo Riglewski,R,185,GER,24.42710472,101843,4,0,Sergi Bruguera,R,188,ESP,19.95619439,7-5 6-3,3,R32,90,4,2,72,40,33,14,10,7,8,2,2,77,41,28,15,11,4,8,88,0,28,0
1991-339,Adelaide,Hard,32,A,19901231,6,102148,0,0,Fabrice Santoro,R,178,FRA,18.05886379,101285,0,0,Thierry Champion,R,183,FRA,24.3340178,6-2 6-3,3,R32,88,2,1,61,45,32,4,8,7,9,1,0,62,45,20,8,9,10,16,62,0,59,0
1991-339,Adelaide,Hard,32,A,19901231,7,101900,0,0,Nicklas Kulti,R,190,SWE,19.69336071,102000,0,0,Aki Rahunen,R,175,FIN,19.01984942,6-4 6-0,3,R32,63,3,0,46,22,18,16,8,2,2,0,4,47,22,16,8,8,3,7,51,0,74,0
1991-339,Adelaide,Hard,32,A,19901231,8,101320,5,0,Magnus Gustafsson,R,185,SWE,23.99178645,100713,0,WC,John Fitzgerald,R,183,AUS,30.00684463,6-2 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,188,0
1991-339,Adelaide,Hard,32,A,19901231,9,101529,6,0,Michael Stich,R,193,GER,22.20123203,101179,0,0,Jean Philippe Fleurian,R,185,FRA,25.30321697,6-4 6-4,3,R32,67,7,1,49,32,28,12,10,0,0,2,0,64,42,27,13,10,7,9,42,0,67,0
1991-339,Adelaide,Hard,32,A,19901231,10,101332,0,0,Gilad Bloom,L,173,ISR,23.83572895,101776,0,Q,Sandon Stolle,R,193,AUS,20.46817248,6-7(4) 7-6(5) 6-4,3,R32,181,2,0,120,88,59,16,17,11,14,11,17,131,69,52,25,17,5,9,66,0,228,0
1991-339,Adelaide,Hard,32,A,19901231,11,101727,0,WC,Jason Stoltenberg,R,185,AUS,20.74195756,101797,0,Q,Jacco Eltingh,R,188,NED,20.3394935,6-3 6-4,3,R32,57,9,0,48,28,25,15,10,0,0,4,1,50,27,19,12,9,2,4,108,0,128,0
1991-339,Adelaide,Hard,32,A,19901231,12,101061,0,0,Jimmy Arias,R,175,USA,26.37371663,101511,3,0,Horst Skoff,R,175,AUT,22.35728953,7-6(4) 3-0 RET,3,R32,80,1,3,63,42,26,13,8,4,6,1,0,47,28,15,8,7,2,5,60,0,26,0
1991-339,Adelaide,Hard,32,A,19901231,13,101185,0,WC,Mark Woodforde,L,188,AUS,25.27036277,101440,7,0,Mark Koevermans,R,185,NED,22.90759754,6-2 7-6(2),3,R32,99,4,2,65,30,23,21,10,3,4,4,5,67,35,26,10,10,6,9,101,0,48,0
1991-339,Adelaide,Hard,32,A,19901231,14,101441,0,Q,Martin Sinner,R,180,GER,22.89664613,101117,0,0,Eric Jelen,R,180,GER,25.80698152,6-3 7-6(1),3,R32,89,1,4,80,44,30,20,11,8,10,3,4,69,42,28,10,10,7,10,111,0,68,0
