tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1992-339,Adelaide,Hard,32,A,19911230,1,101964,1,0,Goran Ivanisevic,L,193,CRO,20.29568789,101900,0,0,Nicklas Kulti,R,190,SWE,20.6899384,6-3 6-3,3,R32,59,12,3,58,33,27,13,9,3,3,2,1,49,34,23,6,9,0,3,16,0,80,0
1992-339,Adelaide,Hard,32,A,19911230,2,101924,0,0,Stefano Pescosolido,R,185,ITA,20.54757016,101061,0,0,Jimmy Arias,R,175,USA,27.37029432,6-2 7-6(2),3,R32,95,2,1,59,37,25,14,10,2,4,4,3,91,65,39,9,10,8,12,65,0,63,0
1992-339,Adelaide,Hard,32,A,19911230,3,101195,0,0,Amos Mansdorf,R,175,ISR,26.19301848,102304,0,Q,Grant Doyle,R,180,AUS,17.97125257,3-6 7-6(5) 6-4,3,R32,120,4,1,87,59,42,18,15,4,8,3,4,113,68,45,22,16,8,12,62,0,730,0
1992-339,Adelaide,Hard,32,A,19911230,4,101820,0,0,Marc Rosset,R,201,SUI,21.14442163,101750,8,0,Cristiano Caratti,R,178,ITA,21.60164271,3-6 6-3 6-3,3,R32,91,5,1,71,49,39,14,13,2,3,0,3,80,49,34,16,14,1,4,60,0,42,0
1992-339,Adelaide,Hard,32,A,19911230,5,100870,0,0,Christo Van Rensburg,R,185,RSA,29.18548939,101439,3,0,Javier Sanchez,R,178,ESP,23.90965092,7-5 6-7(4) 7-6(5),3,R32,140,8,11,111,71,61,20,18,4,5,2,2,118,95,65,15,18,5,7,68,0,32,0
1992-339,Adelaide,Hard,32,A,19911230,6,101549,0,0,Rodolphe Gilbert,L,183,FRA,23.04722793,101150,0,0,Gianluca Pozzi,L,180,ITA,26.53524983,6-3 3-6 7-6(5),3,R32,125,4,4,90,48,36,16,15,1,6,3,5,96,42,28,27,15,5,10,92,0,76,0
1992-339,Adelaide,Hard,32,A,19911230,7,101373,0,0,Karsten Braasch,L,180,GER,24.46269678,101723,0,0,Magnus Larsson,R,193,SWE,21.76591376,6-2 6-4,3,R32,66,4,1,51,28,24,14,9,1,1,0,1,62,36,21,14,9,5,8,146,0,61,0
1992-339,Adelaide,Hard,32,A,19911230,8,101214,0,0,Bryan Shelton,R,185,USA,26.02053388,101404,5,0,Thomas Muster,L,180,AUT,24.24366872,6-3 4-6 7-6(1),3,R32,111,6,4,88,53,44,20,15,0,1,2,1,93,62,41,22,16,2,4,72,0,35,0
1992-339,Adelaide,Hard,32,A,19911230,9,101391,6,0,Carl Uwe Steeb,L,180,GER,24.32854209,101746,0,0,Renzo Furlan,R,175,ITA,21.62080767,6-1 6-4,3,R32,84,2,3,62,33,25,18,9,6,6,2,1,57,36,24,9,8,4,7,38,0,52,0
1992-339,Adelaide,Hard,32,A,19911230,10,101776,0,WC,Sandon Stolle,R,193,AUS,21.46475017,101482,0,0,Markus Zoecke,R,196,GER,23.6386037,6-7(3) 6-2 6-4,3,R32,139,9,5,99,61,47,18,15,5,6,3,6,96,57,42,19,15,12,16,156,0,57,0
1992-339,Adelaide,Hard,32,A,19911230,11,102358,0,Q,Thomas Enqvist,R,190,SWE,17.79876797,101892,0,Q,Axel Finnberg,R,0,GER,20.73648186,3-6 6-1 6-2,3,R32,102,11,4,72,38,31,18,12,1,2,3,9,90,45,28,21,12,4,8,231,0,398,0
1992-339,Adelaide,Hard,32,A,19911230,12,101511,4,0,Horst Skoff,R,175,AUT,23.35386721,101000,0,Q,Carl Limberger,R,170,AUS,27.93155373,6-3 6-3,3,R32,78,2,1,58,30,17,18,9,7,9,3,2,61,40,23,7,9,3,8,33,0,211,0
1992-339,Adelaide,Hard,32,A,19911230,13,101358,7,0,Olivier Delaitre,R,170,FRA,24.58042437,101835,0,LL,Arne Thoms,R,188,GER,20.99383984,6-7(2) 6-3 6-2,3,R32,128,4,6,106,53,37,34,15,4,4,2,5,108,71,51,14,14,6,9,39,0,165,0
1992-339,Adelaide,Hard,32,A,19911230,14,101185,0,0,Mark Woodforde,L,188,AUS,26.26694045,101727,0,0,Jason Stoltenberg,R,185,AUS,21.73853525,6-2 7-6(3),3,R32,80,3,5,68,49,38,11,10,2,2,2,3,69,39,28,15,10,4,6,88,0,75,0
1992-339,Adelaide,Hard,32,A,19911230,15,101377,0,0,Christian Bergstrom,R,180,SWE,24.44900753,101154,0,LL,Simon Youl,R,185,AUS,26.49691992,6-3 6-4,3,R32,77,0,1,69,56,36,7,10,8,10,0,4,57,36,22,9,9,4,8,44,0,140,0
1992-339,Adelaide,Hard,32,A,19911230,16,100713,0,WC,John Fitzgerald,R,183,AUS,31.00342231,101733,2,0,Jan Siemerink,L,183,NED,21.71115674,6-2 7-6(3),3,R32,76,2,5,73,51,34,13,10,3,5,4,6,70,35,21,15,10,3,7,205,0,26,0
1992-339,Adelaide,Hard,32,A,19911230,17,101964,1,0,Goran Ivanisevic,L,193,CRO,20.29568789,101924,0,0,Stefano Pescosolido,R,185,ITA,20.54757016,6-4 6-3,3,R16,73,6,1,45,24,20,17,9,0,0,4,2,75,33,22,22,10,8,11,16,0,65,0
1992-339,Adelaide,Hard,32,A,19911230,18,101820,0,0,Marc Rosset,R,201,SUI,21.14442163,101195,0,0,Amos Mansdorf,R,175,ISR,26.19301848,3-6 6-3 6-2,3,R16,93,9,2,75,45,32,18,13,3,5,4,3,85,53,34,15,13,4,8,60,0,62,0
1992-339,Adelaide,Hard,32,A,19911230,19,101549,0,0,Rodolphe Gilbert,L,183,FRA,23.04722793,100870,0,0,Christo Van Rensburg,R,185,RSA,29.18548939,6-4 6-3,3,R16,76,2,1,57,36,29,14,10,2,2,6,4,53,32,23,11,9,6,8,92,0,68,0
