tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1970-2029,Dublin,Grass,32,A,19700706,271,100106,0,0,Graham Stilwell,R,173,GBR,24.63791923,125672,0,0,Kenneth Reid,U,0,IRL,0,6-0 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,272,209533,0,0,Harry Sheridan,U,0,IRL,0,209675,0,0,B Sweeney,U,0,IRL,0,6-2 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,273,100100,0,0,Tony Roche,L,178,AUS,25.13620808,125716,0,0,James Buckley,U,0,IRL,33.2238193,6-0 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,274,100060,0,0,Marty Riessen,R,185,USA,28.58590007,209674,0,0,Frank Mcardle,U,0,IRL,0,6-1 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,275,100084,0,0,Tom Okker,R,178,NED,26.36824093,209673,0,0,T Grane,U,0,0,0,6-2 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,276,110991,0,0,Jaidip Mukerjea,U,0,IND,28.20807666,110197,0,0,James Mcardle,U,0,IRL,50.17932923,6-2 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,277,207073,0,0,John Mcgrath,0,0,IRL,0,209672,0,0,D O'Keefe,U,0,IRL,0,11-9 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,278,110017,0,0,John McDonald,R,0,NZL,39.41683778,209592,0,0,Ronan Fearon,U,0,IRL,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,279,100051,0,0,Premjit Lall,R,0,IND,29.70841889,209671,0,0,J Williamson,U,0,IRL,0,6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,280,110957,0,0,Peter Jackson,U,0,IRL,35.78644764,209535,0,0,John Mulvey,U,0,IRL,0,6-0 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,281,109783,0,0,Bob Howe,R,183,AUS,44.92265572,209670,0,0,Gerry Doherty,U,0,IRL,0,6-2 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,282,100040,0,0,Bob Hewitt,R,190,RSA,30.48049281,209669,0,0,J Young,U,0,IRL,0,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,283,100148,0,0,Ismail El Shafei,R,0,EGY,22.63928816,209668,0,0,Anthony Brennan,U,0,IRL,0,6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,284,207077,0,0,Desmond Early,0,0,IRL,0,209667,0,0,J Drory Byrne,U,0,0,0,6-4 9-7,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,285,100079,0,0,Bill Bowrey,R,0,AUS,26.52977413,209666,0,0,C Ryan,U,0,IRL,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,286,100106,0,0,Graham Stilwell,R,173,GBR,24.63791923,110991,0,0,Jaidip Mukerjea,U,0,IND,28.20807666,4-6 6-2 6-1,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,287,100100,0,0,Tony Roche,L,178,AUS,25.13620808,209533,0,0,Harry Sheridan,U,0,IRL,0,6-3 6-0,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,288,100060,0,0,Marty Riessen,R,185,USA,28.58590007,207073,0,0,John Mcgrath,0,0,IRL,0,6-2 6-3,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,289,100084,0,0,Tom Okker,R,178,NED,26.36824093,110957,0,0,Peter Jackson,U,0,IRL,35.78644764,6-2 6-1,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,290,100029,0,0,Rod Laver,L,173,AUS,31.90691307,207077,0,0,Desmond Early,0,0,IRL,0,6-2 7-5,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,291,100040,0,0,Bob Hewitt,R,190,RSA,30.48049281,110017,0,0,John McDonald,R,0,NZL,39.41683778,6-3 6-2,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-2029,Dublin,Grass,32,A,19700706,292,100148,0,0,Ismail El Shafei,R,0,EGY,22.63928816,109783,0,0,Bob Howe,R,183,AUS,44.92265572,6-2 6-1,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
