tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1981-1725,Pepsi Grand Slam,Clay,4,A,19810213,1,100282,0,0,Guillermo Vilas,L,180,ARG,28.49281314,100342,0,0,Vitas Gerulaitis,R,183,USA,26.55441478,6-3 2-6 6-4,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0
1981-1725,Pepsi Grand Slam,Clay,4,A,19810213,2,100581,0,0,John McEnroe,L,180,USA,21.99315537,100360,0,0,Brian Teacher,R,190,USA,26.14373717,6-3 6-1,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,0
1981-1725,Pepsi Grand Slam,Clay,4,A,19810213,3,100581,0,0,John McEnroe,L,180,USA,21.99315537,100282,0,0,Guillermo Vilas,L,180,ARG,28.49281314,6-7 6-4 6-0,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
1981-204,Vina del Mar,Clay,32,A,19810126,1,100232,1,0,Eddie Dibbs,R,170,USA,29.9247091,100394,0,0,Angel Gimenez,R,163,ESP,25.29774127,6-2 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,86,0
1981-204,Vina del Mar,Clay,32,A,19810126,2,100319,0,0,Rick Fagel,R,180,USA,27.15947981,100468,0,0,Dominique Bedel,R,185,FRA,23.93155373,6-1 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,103,0
1981-204,Vina del Mar,Clay,32,A,19810126,3,100711,0,0,Pedro Rebolledo,R,170,CHI,20.10951403,100640,0,0,Stefan Simonsson,R,175,SWE,21.05954825,6-0 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,142,0
1981-204,Vina del Mar,Clay,32,A,19810126,4,100538,0,Q,Alejandro Gattiker,R,180,ARG,22.72963723,100119,7,0,Ilie Nastase,R,183,ROU,34.52429843,7-5 3-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,79,0
1981-204,Vina del Mar,Clay,32,A,19810126,5,100395,3,0,Victor Pecci,R,193,PAR,25.28405202,100336,0,0,Guillermo Aubone,L,0,ARG,26.63655031,6-4 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,133,0
1981-204,Vina del Mar,Clay,32,A,19810126,6,100346,0,0,Paul Kronk,R,0,AUS,26.34633812,100764,0,0,Gabriel Urpi,R,173,ESP,19.44695414,6-3 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,115,0
1981-204,Vina del Mar,Clay,32,A,19810126,7,100384,0,Q,Alejandro Cortes,R,0,COL,25.53867214,100506,0,0,Howard Schoenfield,R,0,USA,23.19780972,6-0 4-1 RET,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,108,0
1981-204,Vina del Mar,Clay,32,A,19810126,8,100233,6,0,Ricardo Cano,R,170,ARG,29.91649555,100518,0,0,Ricardo Acuna,R,175,CHI,23.03627652,7-6 2-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0
1981-204,Vina del Mar,Clay,32,A,19810126,9,100483,0,0,Christophe Casa,R,178,FRA,23.6605065,100443,8,0,Christophe Freyss,L,183,FRA,24.40793977,7-6 3-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,82,0
1981-204,Vina del Mar,Clay,32,A,19810126,10,100228,0,0,Kjell Johansson,R,0,SWE,29.95482546,100753,0,0,Juan Carlos Ayala,R,0,CHI,19.60848734,4-6 6-4 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,390,0
1981-204,Vina del Mar,Clay,32,A,19810126,11,100115,0,0,Jaime Fillol,R,180,CHI,34.65023956,100460,0,0,Jose Lopez Maeso,R,173,ESP,24.09034908,6-2 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,118,0
