tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1986-240,Itaparica,Hard,32,A,19861124,1,100653,1,0,Andres Gomez,L,193,ECU,26.74058864,101003,0,WC,Ricardo Acioly,R,180,BRA,22.80355921,7-5 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,246,0
1986-240,Itaparica,Hard,32,A,19861124,2,100398,0,Q,Julio Goes,R,180,BRA,31.08281999,100864,0,0,Martin Wostenholme,R,183,CAN,24.12046543,6-3 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,196,0
1986-240,Itaparica,Hard,32,A,19861124,3,101119,0,0,Marian Vajda,R,173,SVK,21.67008898,100892,0,Q,Alexandre Hocevar,R,190,BRA,23.76180698,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,572,0
1986-240,Itaparica,Hard,32,A,19861124,4,100831,0,Q,Rick Rudeen,R,188,USA,24.47091034,101237,0,LL,Danilo Marcelino,R,193,BRA,20.71457906,6-4 3-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,244,0
1986-240,Itaparica,Hard,32,A,19861124,5,101511,4,0,Horst Skoff,R,175,AUT,18.25598905,100221,0,0,Carlos Kirmayr,R,173,BRA,36.16974675,7-5 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,102,0
1986-240,Itaparica,Hard,32,A,19861124,6,100548,0,0,Ivan Kley,R,183,BRA,28.40520192,101318,0,0,Javier Frana,L,185,ARG,19.91512663,6-2 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,149,0
1986-240,Itaparica,Hard,32,A,19861124,7,100240,0,Q,Joao Soares,R,185,BRA,35.58384668,100751,0,0,Roberto Saad,R,185,ARG,25.47570157,3-6 7-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,204,0
1986-240,Itaparica,Hard,32,A,19861124,8,100652,5,0,Cassio Motta,R,180,BRA,26.75427789,101368,0,0,Christian Miniussi,R,185,ARG,19.38945927,4-6 6-2 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,95,0
1986-240,Itaparica,Hard,32,A,19861124,9,100800,6,0,Diego Perez,R,178,URU,24.78850103,100518,0,0,Ricardo Acuna,R,175,CHI,28.862423,6-1 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,154,0
1986-240,Itaparica,Hard,32,A,19861124,10,101174,0,WC,Fernando Roese,R,190,BRA,21.25119781,101080,0,0,Lawson Duncan,R,185,USA,22.07802875,6-4 4-1 RET,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,164,0
1986-240,Itaparica,Hard,32,A,19861124,11,100954,0,0,Luiz Mattar,R,183,BRA,23.26899384,100719,0,0,Juan Avendano,R,178,ESP,25.81793292,6-4 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,117,0
1986-240,Itaparica,Hard,32,A,19861124,12,101179,0,0,Jean Philippe Fleurian,R,185,FRA,21.2019165,101409,3,0,Jaime Yzaga,R,170,PER,19.08829569,7-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,44,0
1986-240,Itaparica,Hard,32,A,19861124,13,101048,7,0,Francisco Maciel,R,185,MEX,22.39835729,101076,0,0,Cesar Kist,R,180,BRA,22.08898015,6-4 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,166,0
