tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1993-339,Adelaide,Hard,32,A,19930104,1,101990,1,0,Richard Krajicek,R,196,NED,21.08145106,102358,0,0,Thomas Enqvist,R,190,SWE,18.81451061,6-1 6-4,3,R32,67,14,1,47,34,28,6,9,1,2,2,5,56,32,17,10,8,4,8,10,0,63,0
1993-339,Adelaide,Hard,32,A,19930104,2,101711,0,0,Alex Obrien,R,185,USA,22.83093771,100714,0,Q,Broderick Dyke,L,183,AUS,32.0109514,7-6(4) 7-6(5),3,R32,124,5,3,86,55,35,17,12,3,6,4,1,94,59,39,17,12,9,12,127,0,545,0
1993-339,Adelaide,Hard,32,A,19930104,3,101890,0,0,Jonathan Stark,R,188,USA,21.75770021,101889,0,0,Todd Woodbridge,R,178,AUS,21.76043806,6-2 6-2,3,R32,60,3,1,41,26,23,10,8,2,2,1,4,48,26,15,9,8,1,5,85,0,54,0
1993-339,Adelaide,Hard,32,A,19930104,4,102146,0,Q,Jordi Burillo,R,188,ESP,20.07665982,101609,7,0,David Wheaton,R,193,USA,23.59206023,6-1 6-3,3,R32,55,7,0,38,24,19,14,8,1,1,1,3,42,19,12,9,8,1,5,157,0,44,0
1993-339,Adelaide,Hard,32,A,19930104,5,101334,3,0,Alexander Volkov,L,188,RUS,25.84257358,101298,0,0,Jonas Svensson,R,188,SWE,26.20670773,7-6(4) 6-3,3,R32,82,6,2,65,28,23,27,11,1,1,2,0,63,43,31,9,10,4,5,17,0,81,0
1993-339,Adelaide,Hard,32,A,19930104,6,101685,0,0,Markus Naewie,R,190,GER,22.99247091,102417,0,WC,Steven Baldas,R,180,AUS,18.54893908,6-4 6-1,3,R32,75,3,2,41,20,18,15,8,2,2,1,1,60,35,20,12,9,6,10,77,0,617,0
1993-339,Adelaide,Hard,32,A,19930104,7,101920,0,0,Jamie Morgan,R,185,AUS,21.57700205,101463,0,0,Bernd Karbacher,R,185,GER,24.75564682,6-4 6-2,3,R32,77,6,1,58,31,26,14,9,2,2,5,2,58,38,24,11,9,1,4,113,0,52,0
1993-339,Adelaide,Hard,32,A,19930104,8,101900,0,0,Nicklas Kulti,R,190,SWE,21.70568104,101185,6,0,Mark Woodforde,L,188,AUS,27.28268309,6-4 7-6(4),3,R32,96,8,1,76,42,28,20,11,1,3,6,2,61,31,23,18,11,4,7,79,0,40,0
1993-339,Adelaide,Hard,32,A,19930104,9,101196,0,0,Derrick Rostagno,R,185,USA,27.19507187,101723,5,0,Magnus Larsson,R,193,SWE,22.7816564,6-3 6-4,3,R32,64,2,2,61,40,31,11,10,1,2,4,0,45,33,20,8,9,0,3,75,0,34,0
1993-339,Adelaide,Hard,32,A,19930104,10,101377,0,0,Christian Bergstrom,R,180,SWE,25.46475017,102202,0,0,Kenneth Carlsen,L,190,DEN,19.71800137,7-6(3) 6-2,3,R32,97,5,2,73,39,26,24,10,2,2,8,0,67,42,28,11,10,5,7,58,0,69,0
1993-339,Adelaide,Hard,32,A,19930104,11,101774,0,0,Todd Martin,R,198,USA,22.49418207,101214,0,0,Bryan Shelton,R,185,USA,27.03627652,6-3 6-7(7) 6-4,3,R32,154,9,3,132,79,52,28,16,9,12,13,8,105,54,37,26,15,4,9,87,0,100,0
1993-339,Adelaide,Hard,32,A,19930104,12,101611,4,0,Cedric Pioline,R,188,FRA,23.55646817,101776,0,0,Sandon Stolle,R,193,AUS,22.48049281,6-3 6-2,3,R32,74,4,2,50,31,23,11,9,2,3,2,3,63,28,18,13,8,10,14,33,0,71,0
1993-339,Adelaide,Hard,32,A,19930104,13,101735,0,0,Richard Fromberg,R,196,AUS,22.68856947,101320,8,0,Magnus Gustafsson,R,185,SWE,26.00410678,6-7(5) 6-4 6-3,3,R32,137,3,2,102,60,43,24,15,6,7,3,3,110,73,50,17,16,7,11,83,0,47,0
1993-339,Adelaide,Hard,32,A,19930104,14,100815,0,Q,David Pate,R,183,USA,30.72142368,101687,0,Q,David Dilucia,R,173,USA,22.9705681,6-4 6-4,3,R32,68,2,0,45,29,27,13,10,0,0,3,4,59,35,25,14,10,3,5,396,0,363,0
1993-339,Adelaide,Hard,32,A,19930104,15,101727,0,WC,Jason Stoltenberg,R,185,AUS,22.75427789,102154,0,0,Marcos Ondruska,R,183,RSA,20.04654346,7-6(4) 6-0,3,R32,92,4,6,78,42,29,16,9,6,8,1,4,62,28,18,13,9,8,13,168,0,67,0
1993-339,Adelaide,Hard,32,A,19930104,16,100713,0,WC,John Fitzgerald,R,183,AUS,32.01916496,101843,2,0,Sergi Bruguera,R,188,ESP,21.96851472,6-4 2-6 7-6(4),3,R32,115,3,3,92,48,36,26,15,4,6,11,3,119,64,46,29,15,12,13,166,0,16,0
1993-339,Adelaide,Hard,32,A,19930104,17,101711,0,0,Alex Obrien,R,185,USA,22.83093771,101990,1,0,Richard Krajicek,R,196,NED,21.08145106,6-4 6-4,3,R16,95,0,3,63,42,33,9,10,5,6,9,5,68,44,29,12,10,6,9,127,0,10,0
