,Player 1 Score,Player 2 Score,Winner
0,2.6322,2.7281,0.0
1,3.8274000000000004,1.5329,1.0
2,3.3117000000000005,2.0486,0.0
3,2.2506000000000004,3.1097000000000006,0.0
4,3.2866,2.0737,0.0
5,3.7936,1.0658,0.0
6,2.8097000000000003,2.5505999999999998,0.0
7,0.9828,4.3774999999999995,0.0
8,4.3808,0.9795,1.0
9,3.1746999999999996,2.1856,1.0
10,1.0309,4.3294,1.0
11,4.411,0.9493,0.0
12,3.1992000000000003,2.1611000000000002,0.0
13,3.2588000000000004,2.1014999999999997,1.0
14,3.7634,1.5969000000000002,1.0
15,2.0111,3.3492,1.0
16,2.6030999999999995,2.2563000000000004,1.0
17,3.8810000000000002,1.4793,0.0
18,3.7407,1.6196000000000002,1.0
19,4.3774999999999995,0.9828,0.0
20,1.0702,4.290100000000001,0.0
21,2.7572,2.6030999999999995,1.0
22,2.0788,3.2815000000000003,1.0
23,2.0111,3.3492,1.0
24,2.785,2.5753,0.0
25,2.6024000000000003,2.7579000000000002,1.0
26,4.324300000000001,0.5351,0.0
27,2.068,3.2923000000000004,1.0
28,2.785,2.5753,1.0
29,1.566,3.7943000000000002,0.0
30,2.785,2.5753,0.0
31,2.809,2.5513,1.0
32,2.6315,2.7288,1.0
33,2.0195,3.3408,1.0
34,2.279,3.0813,0.0
35,4.859400000000001,0.5009,0.0
36,2.6024000000000003,2.7579000000000002,1.0
37,3.3750000000000004,1.4844,0.0
38,3.8133000000000004,1.547,0.0
39,2.8399,2.0195,1.0
40,4.411,0.9493,0.0
41,2.6282,2.7321,0.0
42,0.9777,4.3826,0.0
43,3.8424,1.5179,0.0
44,3.8759,1.4844,0.0
45,4.329000000000001,1.0312999999999999,1.0
46,3.7343,1.6260000000000001,0.0
47,2.7288,2.6315,1.0
48,2.7270000000000003,2.6332999999999998,0.0
49,3.2636,1.5958,1.0
50,3.0471,2.3132,1.0
51,2.7281,2.6322,0.0
52,2.6285000000000003,2.7318,0.0
53,1.5678,3.7925000000000004,1.0
54,4.912599999999999,0.4477,0.0
55,1.0618,4.2985,0.0
56,1.5325,3.8278000000000003,0.0
57,2.2261,3.1342000000000003,0.0
