tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1976-1725,Pepsi Grand Slam,Clay,4,A,19760710,1,100119,0,0,Ilie Nastase,R,183,ROU,29.97672827,100174,0,0,Manuel Orantes,L,178,ESP,27.42231348,6-4 6-3,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0
1976-1725,Pepsi Grand Slam,Clay,4,A,19760710,297,100284,0,0,Jimmy Connors,L,178,USA,23.85215606,100074,0,0,Arthur Ashe,R,185,USA,33.00205339,6-4 7-6(7),3,BR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
1976-1725,Pepsi Grand Slam,Clay,4,A,19760710,298,100174,0,0,Manuel Orantes,L,178,ESP,27.42231348,100074,0,0,Arthur Ashe,R,185,USA,33.00205339,6-4 6-4,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
1976-1725,Pepsi Grand Slam,Clay,4,A,19760710,299,100119,0,0,Ilie Nastase,R,183,ROU,29.97672827,100284,0,0,Jimmy Connors,L,178,USA,23.85215606,0-6 6-4 7-5,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0
1976-2011,Tehran,Clay,64,A,19761004,1,100282,1,0,Guillermo Vilas,L,180,ARG,24.13141684,100168,0,0,Kenneth McMillan,R,0,USA,27.85763176,6-2 6-3,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,190,0
1976-2011,Tehran,Clay,64,A,19761004,2,100083,0,0,Nicola Spear,R,0,SRB,32.61601643,110397,0,0,Abdelkader Madani,U,0,ALG,0,6-4 6-4,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0
1976-2011,Tehran,Clay,64,A,19761004,3,100198,0,0,Alvaro Betancur,R,0,COL,26.75154004,100049,0,0,Jim Mcmanus,L,175,USA,36.04928131,6-1 6-4,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,105,0
1976-2011,Tehran,Clay,64,A,19761004,4,100313,0,0,Keith Richardson,R,185,USA,23.12936345,110398,0,0,E Neemati,U,0,IRI,0,6-2 6-3,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976-2011,Tehran,Clay,64,A,19761004,5,100235,0,0,Antonio Munoz,R,0,ESP,25.59616701,100244,0,0,John Alexander,R,190,AUS,25.25393566,6-4 6-3,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,20,0
1976-2011,Tehran,Clay,64,A,19761004,6,106641,0,0,Bobby Webb,R,0,USA,0,100322,0,0,Emilio Montano,R,0,MEX,22.79534565,DEF,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
