tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1988-201,Guaruja,Hard,32,A,19880125,1,100586,1,0,Eliot Teltscher,R,178,USA,28.86516085,100548,0,0,Ivan Kley,R,183,BRA,29.5742642,7-5 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,251,0
1988-201,Guaruja,Hard,32,A,19880125,2,101133,0,0,Patrick Baur,R,188,GER,22.72963723,100986,0,WC,Dacio Campos,R,185,BRA,24.10403833,7-5 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,317,0
1988-201,Guaruja,Hard,32,A,19880125,3,100669,0,0,Charles Bud Cox,R,196,USA,27.78918549,101076,0,0,Cesar Kist,R,180,BRA,23.25804244,6-2 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,205,0
1988-201,Guaruja,Hard,32,A,19880125,4,100782,8,0,Pablo Arraya,R,180,PER,26.26146475,100518,0,0,Ricardo Acuna,R,175,CHI,30.03148528,6-4 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,190,0
1988-201,Guaruja,Hard,32,A,19880125,5,101318,4,0,Javier Frana,L,185,ARG,21.08418891,101250,0,0,Jose Daher,R,180,BRA,21.76591376,7-6 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,157,0
1988-201,Guaruja,Hard,32,A,19880125,6,101237,0,0,Danilo Marcelino,R,193,BRA,21.88364134,101166,0,0,Gustavo Garetto,R,190,ARG,22.50787132,6-4 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,204,0
1988-201,Guaruja,Hard,32,A,19880125,7,100323,0,0,Givaldo Barbosa,R,183,BRA,33.99863107,100751,0,0,Roberto Saad,R,185,ARG,26.64476386,6-4 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,189,0
1988-201,Guaruja,Hard,32,A,19880125,8,100800,5,0,Diego Perez,R,178,URU,25.95756331,100398,0,0,Julio Goes,R,180,BRA,32.25188227,4-6 6-0 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,165,0
1988-201,Guaruja,Hard,32,A,19880125,9,101382,6,0,Marcelo Filippini,R,178,URU,20.47638604,100949,0,WC,Mauro Menezes,R,193,BRA,24.49828884,6-0 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,481,0
1988-201,Guaruja,Hard,32,A,19880125,10,100864,0,0,Martin Wostenholme,R,183,CAN,25.28952772,100917,0,Q,Nelson Aerts,R,188,BRA,24.75290897,6-4 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,408,0
1988-201,Guaruja,Hard,32,A,19880125,11,100922,0,0,Roberto Arguello,U,173,ARG,24.7063655,100639,0,0,Blaine Willenborg,R,170,USA,28.05749487,7-5 3-6 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,143,0
1988-201,Guaruja,Hard,32,A,19880125,12,101080,3,0,Lawson Duncan,R,185,USA,23.24709103,100892,0,WC,Alexandre Hocevar,R,190,BRA,24.93086927,6-3 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,392,0
1988-201,Guaruja,Hard,32,A,19880125,13,100652,7,0,Cassio Motta,R,180,BRA,27.92334018,101578,0,0,Markus Rackl,L,180,GER,18.89664613,6-1 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,172,0
1988-201,Guaruja,Hard,32,A,19880125,14,101003,0,Q,Ricardo Acioly,R,180,BRA,23.97262149,100819,0,0,Daniel Montes De Oca,R,170,URU,25.74948665,6-3 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,234,0
1988-201,Guaruja,Hard,32,A,19880125,15,101615,0,Q,Otavio Della,R,170,BRA,18.5927447,100595,0,0,Ronnie Bathman,R,183,SWE,28.75564682,6-4 3-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,270,0
1988-201,Guaruja,Hard,32,A,19880125,16,100954,2,0,Luiz Mattar,R,183,BRA,24.43805613,101760,0,Q,David Kass,R,180,USA,17.60985626,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,631,0
