tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1968-2029,Dublin,Grass,32,A,19680708,270,202866,0,0,Doug Smith,U,0,AUS,0,110196,0,0,Peter Ledbetter,U,0,UNK,0,6-1 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,271,126914,0,0,Louis Pretorius,R,0,RSA,0,209536,0,0,Maurice Pollock,U,0,IRL,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,272,209523,0,0,Cecil Pedlow,U,0,IRL,0,209535,0,0,John Mulvey,U,0,IRL,0,6-2 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,273,100084,0,0,Tom Okker,R,178,NED,24.37508556,209534,0,0,Unknown Fearmon,U,0,0,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,274,100132,0,0,Armistead Neely,R,0,USA,21.30595483,209533,0,0,Harry Sheridan,U,0,IRL,0,6-2 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,275,207073,0,0,John Mcgrath,0,0,IRL,0,209532,0,0,B Kelly,U,0,0,0,4-6 8-6 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,276,109783,0,0,Bob Howe,R,183,AUS,42.92950034,125672,0,0,Kenneth Reid,U,0,IRL,0,6-0 9-7,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,277,109745,0,0,Lew Hoad,R,0,AUS,33.62354552,125716,0,0,James Buckley,U,0,IRL,31.23066393,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,278,201749,0,0,Graydon Garner,R,0,RSA,0,209531,0,0,Vivian Gotto,U,0,IRL,0,6-1 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968-2029,Dublin,Grass,32,A,19680708,279,209525,0,0,Dennis Foley,U,0,IRL,0,110045,0,0,Peter Mockler,R,0,IRL,0,4-6 6-4 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
