tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1969-2029,Dublin,Grass,32,A,19690707,270,100011,0,0,Torben Ulrich,L,0,DEN,36.75564682,207077,0,0,Desmond Early,0,0,IRL,0,6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,271,100058,0,0,Roger Taylor,L,0,GBR,27.72895277,209525,0,0,Dennis Foley,U,0,IRL,0,6-1 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,272,100114,0,0,Ray Ruffels,R,0,AUS,23.29089665,110196,0,0,Peter Ledbetter,U,0,UNK,0,6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,273,125672,0,0,Kenneth Reid,U,0,IRL,0,209594,0,0,P Coyle,U,0,IRL,0,6-3 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,274,100037,0,0,Nikola Pilic,L,0,CRO,29.86173854,209593,0,0,G Doughty,U,0,IRL,0,6-3 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,275,100067,0,0,Frew Mcmillan,R,183,RSA,27.1321013,209535,0,0,John Mulvey,U,0,IRL,0,6-2 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,276,207073,0,0,John Mcgrath,0,0,IRL,0,209592,0,0,Ronan Fearon,U,0,IRL,0,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,277,100120,0,0,Robert Maud,R,180,RSA,22.90212183,209591,0,0,N Lennon,U,0,IRL,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,278,110957,0,0,Peter Jackson,U,0,IRL,34.78986995,209590,0,0,Paul Fitz Simmons,U,0,IRL,0,6-1 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969-2029,Dublin,Grass,32,A,19690707,279,109783,0,0,Bob Howe,R,183,AUS,43.92607803,209589,0,0,Jimmy Casey,U,0,IRL,0,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
