tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1983-201,Guaruja,Hard,64,A,19830124,1,100518,0,0,Ricardo Acuna,R,175,CHI,24.97193703,100548,0,0,Ivan Kley,R,183,BRA,24.51471595,6-4 6-1,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,233,0
1983-201,Guaruja,Hard,64,A,19830124,2,100651,0,0,Alejandro Ganzabal,R,180,ARG,22.88021903,100715,0,0,Jim Gurfein,L,175,USA,21.99589322,1-6 7-5 6-0,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,118,0
1983-201,Guaruja,Hard,64,A,19830124,3,100402,0,0,Francisco Gonzalez,R,193,PAR,27.12388775,100609,0,0,Zoltan Kuharszky,R,183,HUN,23.49075975,1-6 7-6 6-2,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,130,0
1983-201,Guaruja,Hard,64,A,19830124,4,100436,0,0,Nick Saviano,L,180,USA,26.57905544,100233,0,0,Ricardo Cano,R,170,ARG,31.85215606,6-2 6-4,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,219,0
1983-201,Guaruja,Hard,64,A,19830124,5,100799,0,0,Carlos Castellan,R,190,ARG,20.90075291,100496,0,Q,Charles Buzz Strode,R,183,USA,25.32785763,6-2 6-2,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,191,0
1983-201,Guaruja,Hard,64,A,19830124,6,100323,0,0,Givaldo Barbosa,R,183,BRA,28.93908282,100398,0,0,Julio Goes,R,180,BRA,27.19233402,6-4 7-6,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,117,0
1983-201,Guaruja,Hard,64,A,19830124,7,100115,0,0,Jaime Fillol,R,180,CHI,36.58590007,100240,0,0,Joao Soares,R,185,BRA,31.69336071,6-7 6-1 7-6,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,96,0
1983-201,Guaruja,Hard,64,A,19830124,8,100599,0,0,Bernard Boileau,R,185,BEL,23.61122519,100392,0,Q,Richard Meyer,R,183,USA,27.33196441,6-1 6-1,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,248,0
1983-201,Guaruja,Hard,64,A,19830124,9,100345,0,0,Pat Dupre,R,190,USA,28.29842574,100604,0,0,Egan Adams,R,178,USA,23.55373032,6-2 6-1,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,109,0
1983-201,Guaruja,Hard,64,A,19830124,10,100155,0,0,Ramiro Benavides,R,0,BOL,34.92676249,100681,0,0,Morris Skip Strode,R,193,USA,22.57905544,6-0 6-4,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,127,0
1983-201,Guaruja,Hard,64,A,19830124,11,101131,0,0,Jimmy Brown,R,180,USA,17.68377823,100711,0,0,Pedro Rebolledo,R,170,CHI,22.04517454,7-5 6-2,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,129,0
1983-201,Guaruja,Hard,64,A,19830124,12,100553,0,0,Nduka Odizor,R,183,NGR,24.40246407,101076,0,Q,Cesar Kist,R,180,BRA,18.19849418,6-2 3-6 6-3,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,369,0
1983-201,Guaruja,Hard,64,A,19830124,13,100640,0,0,Stefan Simonsson,R,175,SWE,22.99520876,100797,0,0,Ben Testerman,L,185,USA,20.91718001,2-6 6-3 6-0,3,R64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,135,0
