tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1972-2016,London,Carpet,32,A,19721118,270,100126,0,0,Stan Smith,R,193,USA,25.9301848,100130,0,0,Vladimir Zednik,R,0,CZE,25.79603012,W/O,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,271,100185,0,0,Patrick Proisy,R,180,FRA,23.18959617,100161,0,0,Jurgen Fassbender,R,0,GER,24.47638604,6-4 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,272,100025,0,0,Barry Phillips Moore,R,173,AUS,35.36208077,100133,0,0,Pat Cramer,R,0,RSA,25.66461328,3-6 7-6 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,273,100173,0,0,Andrew Pattison,R,188,USA,23.80013689,100083,0,0,Nicola Spear,R,0,SRB,28.73921971,W/O,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,274,100135,0,0,Onny Parun,R,188,NZL,25.59616701,100359,0,0,Richard Lewis,L,0,GBR,17.95208761,7-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,275,100086,0,0,Frantisek Pala,L,0,CZE,28.64339494,100266,0,0,John Feaver,R,190,GBR,20.75564682,7-6 6-7 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,276,100119,0,0,Ilie Nastase,R,183,ROU,26.33538672,100091,0,0,Colin Dibley,R,188,AUS,28.16427105,6-2 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,277,100121,0,0,Raymond Moore,R,183,RSA,26.23682409,109836,0,0,Ken Weatherley,R,0,GBR,24.98562628,6-1 5-7 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,278,100067,0,0,Frew Mcmillan,R,183,RSA,30.49965777,100064,0,0,Juan Gisbert,R,0,ESP,30.62286105,4-6 6-2 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,279,100152,0,0,David Lloyd,R,0,GBR,24.87611225,100045,0,0,John Paish,L,0,GBR,32.65708419,7-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,280,100113,0,0,Jan Kodes,R,175,CZE,26.71868583,100049,0,0,Jim Mcmanus,L,175,USA,32.1724846,6-3 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,281,100078,0,0,Clark Graebner,R,188,USA,29.0403833,100317,0,0,Stephen Warboys,R,0,GBR,19.06639288,7-5 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,282,100127,0,0,Tom Gorman,R,180,USA,25.91649555,100220,0,0,Jiri Hrebec,R,0,CZE,22.16563997,W/O,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,283,100115,0,0,Jaime Fillol,R,180,CHI,26.46132786,100026,0,0,Andres Gimeno,R,185,ESP,35.2936345,1-6 6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,284,109837,0,0,John De Mendoza,R,0,GBR,23.24161533,100343,0,0,John Lloyd,R,178,GBR,18.22861054,6-3 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,285,100284,0,0,Jimmy Connors,L,178,USA,20.21081451,100169,0,0,Ian Fletcher,R,0,AUS,23.96440794,6-4 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,286,100185,0,0,Patrick Proisy,R,180,FRA,23.18959617,100152,0,0,David Lloyd,R,0,GBR,24.87611225,7-6 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,287,100025,0,0,Barry Phillips Moore,R,173,AUS,35.36208077,100113,0,0,Jan Kodes,R,175,CZE,26.71868583,6-4 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,288,100173,0,0,Andrew Pattison,R,188,USA,23.80013689,100086,0,0,Frantisek Pala,L,0,CZE,28.64339494,6-1 4-6 7-5,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,289,100135,0,0,Onny Parun,R,188,NZL,25.59616701,100126,0,0,Stan Smith,R,193,USA,25.9301848,6-4 6-3,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,290,100119,0,0,Ilie Nastase,R,183,ROU,26.33538672,100078,0,0,Clark Graebner,R,188,USA,29.0403833,6-2 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,291,100067,0,0,Frew Mcmillan,R,183,RSA,30.49965777,100115,0,0,Jaime Fillol,R,180,CHI,26.46132786,2-6 6-3 7-6,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,292,100127,0,0,Tom Gorman,R,180,USA,25.91649555,109837,0,0,John De Mendoza,R,0,GBR,23.24161533,6-3 6-3,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,293,100284,0,0,Jimmy Connors,L,178,USA,20.21081451,100121,0,0,Raymond Moore,R,183,RSA,26.23682409,3-6 6-0 6-0,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972-2016,London,Carpet,32,A,19721118,294,100135,0,0,Onny Parun,R,188,NZL,25.59616701,100173,0,0,Andrew Pattison,R,188,USA,23.80013689,6-3 6-4,3,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
