tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1977-1506,Birmingham WCT,Carpet,16,A,19770112,1,100284,1,0,Jimmy Connors,L,178,USA,24.3613963,100376,0,0,Buster C Mottram,R,0,GBR,21.71937029,6-3 6-2,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,2,100055,0,0,Cliff Drysdale,R,188,RSA,35.63312799,100084,0,0,Tom Okker,R,178,NED,32.88980151,6-1 7-5,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,3,100272,0,0,Sandy Mayer,R,178,USA,24.77207392,100099,0,0,Thomaz Koch,L,0,BRA,31.67419576,6-2 6-2,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,4,100232,0,0,Eddie Dibbs,R,170,USA,25.88637919,100174,3,0,Manuel Orantes,L,178,ESP,27.93155373,7-6(3) 1-6 6-1,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,5,100342,0,0,Vitas Gerulaitis,R,183,USA,22.46680356,100286,4,0,Harold Solomon,R,168,USA,24.32032854,6-1 3-6 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,6,100121,0,0,Raymond Moore,R,183,RSA,30.38740589,100461,0,0,Billy Martin,R,178,USA,20.04928131,6-3 6-3,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,7,100452,0,0,Bill Scanlon,R,185,USA,20.16427105,100428,0,0,Gene Mayer,R,183,USA,20.75564682,6-1 6-7(6) 6-2,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,8,100119,2,0,Ilie Nastase,R,183,ROU,30.48596851,100280,0,0,Wojtek Fibak,R,183,POL,24.44353183,6-3 6-2,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,9,100284,1,0,Jimmy Connors,L,178,USA,24.3613963,100055,0,0,Cliff Drysdale,R,188,RSA,35.63312799,6-4 6-2,3,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,10,100232,0,0,Eddie Dibbs,R,170,USA,25.88637919,100272,0,0,Sandy Mayer,R,178,USA,24.77207392,6-4 6-3,3,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,11,100121,0,0,Raymond Moore,R,183,RSA,30.38740589,100342,0,0,Vitas Gerulaitis,R,183,USA,22.46680356,6-4 4-6 7-6(3),3,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,12,100452,0,0,Bill Scanlon,R,185,USA,20.16427105,100119,2,0,Ilie Nastase,R,183,ROU,30.48596851,7-6(4) 6-4,3,QF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,13,100284,1,0,Jimmy Connors,L,178,USA,24.3613963,100232,0,0,Eddie Dibbs,R,170,USA,25.88637919,6-4 6-3,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,14,100452,0,0,Bill Scanlon,R,185,USA,20.16427105,100121,0,0,Raymond Moore,R,183,RSA,30.38740589,6-7(3) 6-4 7-5,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1506,Birmingham WCT,Carpet,16,A,19770112,15,100284,1,0,Jimmy Connors,L,178,USA,24.3613963,100452,0,0,Bill Scanlon,R,185,USA,20.16427105,6-3 6-3,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1725,Pepsi Grand Slam,Clay,4,A,19770711,1,100437,0,0,Bjorn Borg,R,180,SWE,21.09514031,100214,0,0,Adriano Panatta,R,183,ITA,27.00616016,6-2 4-6 7-5,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1725,Pepsi Grand Slam,Clay,4,A,19770711,2,100284,0,0,Jimmy Connors,L,178,USA,24.85420945,100174,0,0,Manuel Orantes,L,178,ESP,28.42436687,5-5 RET,3,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1725,Pepsi Grand Slam,Clay,4,A,19770711,3,100437,0,0,Bjorn Borg,R,180,SWE,21.09514031,100284,0,0,Jimmy Connors,L,178,USA,24.85420945,6-4 5-7 6-3,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,270,100444,0,0,Werner Zirngibl,R,0,GER,21.23203285,100148,0,0,Ismail El Shafei,R,0,EGY,30.03696099,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,271,100058,0,0,Roger Taylor,L,0,GBR,36.12320329,100156,0,0,Jasjit Singh,R,0,IND,29.81519507,6-3 6-7 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,272,100211,0,0,Louk Sanders,R,0,NED,27.55646817,107302,0,0,Jay Royappa,R,0,IND,0,6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,273,100312,0,0,Chiraid Mukherjea,R,0,IND,24.29021218,100210,0,0,Steve Docherty,R,0,AUS,27.56468172,5-7 6-3 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,274,100276,0,0,Terry Moor,L,178,USA,25.59890486,100469,0,0,Ashok Amritraj,R,0,IND,20.76386037,6-4 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,275,100359,0,0,Richard Lewis,L,0,GBR,22.97878166,100191,0,0,Doug Crawford,R,188,USA,28.12046543,6-3 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,276,100147,0,0,Marcello Lara,R,0,MEX,30.14921287,100299,0,0,James Chico Hagey,R,0,USA,24.75564682,6-4 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,277,100406,0,0,Greg Halder,R,188,CAN,21.98220397,100227,0,0,Alvin Gardiner,R,0,AUS,26.79534565,6-0 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,278,100253,0,0,Tom Gullikson,L,180,USA,26.22313484,100281,0,0,Sashi Menon,R,180,IND,25.30321697,7-6 7-6,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,279,100344,0,0,Eric Friedler,R,0,USA,23.22245038,100285,0,0,Rod Frawley,R,185,AUS,25.22108145,4-6 6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,280,100443,0,0,Christophe Freyss,L,183,FRA,21.24572211,100271,0,0,Jean Francois Caujolle,L,0,FRA,25.66187543,4-6 6-3 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977-1729,Bombay,Clay,32,A,19771128,281,100266,0,0,John Feaver,R,190,GBR,25.78234086,100047,0,0,Bob Carmichael,R,183,AUS,37.4017796,6-1 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
