tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1974-1537,Tempe,Hard,32,A,19740327,1,100179,2,0,Karl Meiler,R,178,GER,24.90622861,100288,0,0,Tenny Svensson,R,0,SWE,21.51129363,4-6 6-0 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,2,100321,0,0,Vijay Amritraj,R,193,IND,20.28199863,110409,0,0,Mark Joffey,R,0,USA,0,6-2 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,3,100216,7,0,Charles Owens,R,0,USA,23.6550308,110410,0,0,Bob Folz,U,0,USA,0,6-0 6-0,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,4,100034,0,0,Christian Kuhnke,R,0,GER,34.954141,100266,0,0,John Feaver,R,190,GBR,22.10814511,6-4 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,5,100272,3,0,Sandy Mayer,R,178,USA,21.97399042,100273,0,0,Kim Warwick,R,183,AUS,21.96577687,6-0 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,6,100289,0,0,Byron Bertram,R,0,RSA,21.4072553,100208,0,0,Dick R Bohrnstedt,R,0,USA,23.91238877,6-3 3-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,7,100342,6,0,Vitas Gerulaitis,R,183,USA,19.66872005,100097,0,0,Nicholas Kalogeropoulos,R,0,GRE,29.10061602,6-3 2-6 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,8,100461,0,0,Billy Martin,R,178,USA,17.25119781,100346,0,0,Paul Kronk,R,0,AUS,19.50992471,6-1 7-5,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,9,100245,0,0,Jeff Austin,R,0,USA,22.72689938,109857,0,0,Brian Cheney,R,0,USA,0,6-2 6-4,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,10,107217,8,0,Ian Crookenden,R,0,NZL,0,107235,0,0,Ionel Santeiu,R,0,ROU,0,6-4 5-7 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,11,100118,0,0,Ivan Molina,L,0,COL,27.77823409,107277,0,0,Jan Pisecky,R,0,CZE,0,6-4 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,12,100161,4,0,Jurgen Fassbender,R,0,GER,25.82888433,100155,0,0,Ramiro Benavides,R,0,BOL,26.15468857,6-1 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,13,100300,0,0,Jose Higueras,R,178,ESP,21.07049966,100038,0,0,Jaime Pinto Bravo,R,0,CHI,34.46406571,3-6 6-3 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,14,100169,5,0,Ian Fletcher,R,0,AUS,25.31690623,100367,0,0,Belus Prajoux,R,170,CHI,19.07734428,4-6 6-2 6-1,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,15,109771,0,0,Jairo Velasco,R,0,ESP,26.88295688,107425,0,0,Jose Moreno,R,0,ESP,0,6-4 6-3,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,16,100284,1,0,Jimmy Connors,L,178,USA,21.5633128,100086,0,0,Frantisek Pala,L,0,CZE,29.99589322,6-3 6-2,3,R32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,17,100321,0,0,Vijay Amritraj,R,193,IND,20.28199863,100179,2,0,Karl Meiler,R,178,GER,24.90622861,4-6 6-4 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974-1537,Tempe,Hard,32,A,19740327,18,100216,7,0,Charles Owens,R,0,USA,23.6550308,100034,0,0,Christian Kuhnke,R,0,GER,34.954141,6-2 5-7 7-6,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
